"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","ACEITE","317","ACEITE GIRASOL GIRA-SOL X 4.5 LTS (21.00)","UNI","10,700.00","0.00","10,700.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","63","DELICROK ACEITE LT1 CJX20KG (21.00)","UNI","95,599.98","0.00","95,599.98","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","65","MR.CHOC ACEITE 913  0 TRANS CJX20KG (21.00)","UNI","126,000.02","0.00","126,000.02","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","768","MR.CHOC ACEITE 927 0 TRANS CJX20 KG (21.00)","UNI","126,000.02","0.00","126,000.02","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","ACEITUNAS","901","ACEITUNA NEGRA N 0 X 5 KG (21.00)","UNI","48,749.99","0.00","48,749.99","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","1061","ACEITUNA NEGRA N 00 BALDE X 5 KG (21.00)","UNI","49,501.22","0.00","49,501.22","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","1141","ACEITUNA NEGRA N 00 X 1 KG (21.00)","UNI","16,300.00","0.00","16,300.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5061","ACEITUNA NEGRA NRO 0 X 1 KG (21.00)","UNI","13,200.04","0.00","13,200.04","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","1087","ACEITUNA NEGRA NRO 0 X 1 KG ACEITE (21.00)","UNI","13,200.04","0.00","13,200.04","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","2025","ACEITUNA NEGRA RODAJA X 2 KG (21.00)","UNI","18,750.00","0.00","18,750.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5053","ACEITUNA VERDE DESC. MORANDO X 2 KG (21.00)","UNI","18,720.02","0.00","18,720.02","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5054","ACEITUNA VERDE DESCAROZADA MORANDO X 1 KG (21.00)","UNI","9,750.00","0.00","9,750.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5013","ACEITUNA VERDE DESCAROZADA MORANDO X 5 KG (21.00)","UNI","38,750.02","0.00","38,750.02","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","984","ACEITUNA VERDE MORANDO N 00 GARRAFA X5 KG (21.00)","UNI","42,499.99","0.00","42,499.99","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","902","ACEITUNA VERDE MORANDO N 00 X 1 KG (21.00)","UNI","11,000.26","0.00","11,000.26","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","1124","ACEITUNA VERDE MORANDO N 00 X 2 KG (21.00)","UNI","20,700.00","0.00","20,700.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5010","ACEITUNA VERDE MORANDO NRO 0 X 5 KG (21.00)","UNI","31,900.00","0.00","31,900.00","Page -1 of 1","LISTA 1"
"","","04/12/2025","LISTA DE PRECIOS LISTA 1   ","CÓDIGO","DESCRIPCIÓN","U.V","LISTA","% DESC","PRECIO FINAL","5011","ACEITUNA VERDE MORANDO NRO 3 X 5 KG (21.00)","UNI","27,500.00","0.00","27,500.00","Page -1 of 1","LISTA 1"
